CN_Code,Direct_Emissions,Direct_Lower_Threshold,Direct_Upper_Threshold,Indirect_Emissions,Indirect_Lower_Threshold,Indirect_Upper_Threshold
72259100,1.92,0.96,3.84,0.51,0.255,1.02
72259200,1.92,0.96,3.84,0.51,0.255,1.02
72259900,1.92,0.96,3.84,0.51,0.255,1.02
72261100,1.95,0.975,3.9,0.4,0.2,0.8
72261910,1.95,0.975,3.9,0.4,0.2,0.8
72261980,1.98,0.99,3.96,0.49,0.245,0.98
72262000,1.95,0.975,3.9,0.4,0.2,0.8
72269120,1.95,0.975,3.9,0.4,0.2,0.8
72269191,1.95,0.975,3.9,0.4,0.2,0.8
72269199,1.95,0.975,3.9,0.4,0.2,0.8
72269200,1.98,0.99,3.96,0.49,0.245,0.98
72269910,1.92,0.96,3.84,0.51,0.255,1.02
72269930,1.92,0.96,3.84,0.51,0.255,1.02
72269970,1.92,0.96,3.84,0.51,0.255,1.02
72271000,1.86,0.93,3.72,0.57,0.285,1.14
72272000,1.86,0.93,3.72,0.57,0.285,1.14
72279010,1.86,0.93,3.72,0.57,0.285,1.14
72279050,1.86,0.93,3.72,0.57,0.285,1.14
72279095,1.86,0.93,3.72,0.57,0.285,1.14
72281020,1.86,0.93,3.72,0.57,0.285,1.14
72281050,2.41,1.205,4.82,0.79,0.395,1.58
72281090,1.86,0.93,3.72,0.57,0.285,1.14
72282010,1.86,0.93,3.72,0.57,0.285,1.14
72282091,1.86,0.93,3.72,0.57,0.285,1.14
72282099,1.86,0.93,3.72,0.57,0.285,1.14
72283020,1.86,0.93,3.72,0.57,0.285,1.14
72283041,1.86,0.93,3.72,0.57,0.285,1.14
72283049,1.86,0.93,3.72,0.57,0.285,1.14
72283061,1.86,0.93,3.72,0.57,0.285,1.14
72283069,1.86,0.93,3.72,0.57,0.285,1.14
72283070,1.86,0.93,3.72,0.57,0.285,1.14
72283089,1.86,0.93,3.72,0.57,0.285,1.14
72284010,2.41,1.205,4.82,0.79,0.395,1.58
72284090,2.41,1.205,4.82,0.79,0.395,1.58
72285020,1.86,0.93,3.72,0.57,0.285,1.14
72285040,1.86,0.93,3.72,0.57,0.285,1.14
72285061,1.86,0.93,3.72,0.57,0.285,1.14
72285069,1.86,0.93,3.72,0.57,0.285,1.14
72285080,1.86,0.93,3.72,0.57,0.285,1.14
72286020,1.86,0.93,3.72,0.57,0.285,1.14
72286080,1.86,0.93,3.72,0.57,0.285,1.14
72287010,1.86,0.93,3.72,0.57,0.285,1.14
72287090,1.86,0.93,3.72,0.57,0.285,1.14
72288000,1.86,0.93,3.72,0.57,0.285,1.14
72292000,1.84,0.92,3.68,0.75,0.375,1.5
72299020,1.84,0.92,3.68,0.75,0.375,1.5
72299050,1.84,0.92,3.68,0.75,0.375,1.5
72299090,1.84,0.92,3.68,0.75,0.375,1.5
73011000,2.03,1.015,4.06,0.36,0.18,0.72
73012000,2.03,1.015,4.06,0.36,0.18,0.72
73021010,1.93,0.965,3.86,0.29,0.145,0.58
73021022,1.93,0.965,3.86,0.29,0.145,0.58
73021028,1.93,0.965,3.86,0.29,0.145,0.58
73021040,1.93,0.965,3.86,0.29,0.145,0.58
73021050,1.93,0.965,3.86,0.29,0.145,0.58
73021090,1.93,0.965,3.86,0.29,0.145,0.58
73023000,1.93,0.965,3.86,0.29,0.145,0.58
73024000,1.93,0.965,3.86,0.29,0.145,0.58
73029000,1.93,0.965,3.86,0.29,0.145,0.58
73030010,2.21,1.105,4.42,0.35,0.175,0.7
73030090,2.21,1.105,4.42,0.35,0.175,0.7
73041100,1.86,0.93,3.72,0.35,0.175,0.7
73041910,1.93,0.965,3.86,0.29,0.145,0.58
73041930,1.93,0.965,3.86,0.29,0.145,0.58
73041990,1.93,0.965,3.86,0.29,0.145,0.58
73042200,1.86,0.93,3.72,0.35,0.175,0.7
73042300,1.93,0.965,3.86,0.29,0.145,0.58
73042400,1.86,0.93,3.72,0.35,0.175,0.7
73042910,1.93,0.965,3.86,0.29,0.145,0.58
73042930,1.93,0.965,3.86,0.29,0.145,0.58
73042990,1.93,0.965,3.86,0.29,0.145,0.58
73043120,1.93,0.965,3.86,0.29,0.145,0.58
73043180,1.93,0.965,3.86,0.29,0.145,0.58
73043950,1.93,0.965,3.86,0.29,0.145,0.58
73043982,1.93,0.965,3.86,0.29,0.145,0.58
73043983,1.93,0.965,3.86,0.29,0.145,0.58
73043988,1.93,0.965,3.86,0.29,0.145,0.58
73044100,1.86,0.93,3.72,0.35,0.175,0.7
73044983,1.86,0.93,3.72,0.35,0.175,0.7
